Name;Image;Sell;Buy
Imbued Catalyst;Images/Orbs/Imbued_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore/eRmJ9Y6hL;https://www.pathofexile.com/trade/exchange/Hardcore/9zqDlLKuK
Prismatic Catalyst;Images/Orbs/Prismatic_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore/jWPJ04LIX;https://www.pathofexile.com/trade/exchange/Hardcore/d8Ppz8ZhJ
Tempering Catalyst;Images/Orbs/Tempering_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore/jWPJ04LIX;https://www.pathofexile.com/trade/exchange/Hardcore/7nzOYL6H5
Abrasive Catalyst;Images/Orbs/Abrasive_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore/LgeblElCn;https://www.pathofexile.com/trade/exchange/Hardcore/JBYbw29hl
Fertile Catalyst;Images/Orbs/Fertile_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore/PPKyVKMFL;https://www.pathofexile.com/trade/exchange/Hardcore/aLbeY4KTe
Intrinsic Catalyst;Images/Orbs/Intrinsic_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore/QLrRJOeSw;https://www.pathofexile.com/trade/exchange/Hardcore/glPJB0diQ
Turbulent Catalyst;Images/Orbs/Turbulent_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore/YpDo40bsY;https://www.pathofexile.com/trade/exchange/Hardcore/V5ygJW2Cp
