Name;Image;Buy;Sell
Imbued Catalyst;Images/Orbs/Imbued_Catalyst.png;https://www.pathofexile.com/trade/exchange/Expedition/9zqDlLKuK;https://www.pathofexile.com/trade/exchange/Expedition/eRmJ9Y6hL
Prismatic Catalyst;Images/Orbs/Prismatic_Catalyst.png;https://www.pathofexile.com/trade/exchange/Expedition/d8Ppz8ZhJ;https://www.pathofexile.com/trade/exchange/Expedition/jWPJ04LIX
Tempering Catalyst;Images/Orbs/Tempering_Catalyst.png;https://www.pathofexile.com/trade/exchange/Expedition/7nzOYL6H5;https://www.pathofexile.com/trade/exchange/Expedition/jWPJ04LIX
Abrasive Catalyst;Images/Orbs/Abrasive_Catalyst.png;https://www.pathofexile.com/trade/exchange/Expedition/JBYbw29hl;https://www.pathofexile.com/trade/exchange/Expedition/LgeblElCn
Fertile Catalyst;Images/Orbs/Fertile_Catalyst.png;https://www.pathofexile.com/trade/exchange/Expedition/aLbeY4KTe;https://www.pathofexile.com/trade/exchange/Expedition/PPKyVKMFL
Intrinsic Catalyst;Images/Orbs/Intrinsic_Catalyst.png;https://www.pathofexile.com/trade/exchange/Expedition/glPJB0diQ;https://www.pathofexile.com/trade/exchange/Expedition/QLrRJOeSw
Turbulent Catalyst;Images/Orbs/Turbulent_Catalyst.png;https://www.pathofexile.com/trade/exchange/Expedition/V5ygJW2Cp;https://www.pathofexile.com/trade/exchange/Expedition/YpDo40bsY
