Name;Image;Buy;Sell
Clear Oil;Images/Orbs/Clear_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/wvBr48msb;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/PPJvp9qiL
Sepia Oil;Images/Orbs/Sepia_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/op2appkcl;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/X3MLJE4CP
Amber Oil;Images/Orbs/Amber_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/WvOaqebtm;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/Z6D63jbfQ
Verdant Oil;Images/Orbs/Verdant_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/pJoKPKeu0;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/Og6EeYrtE
Teal Oil;Images/Orbs/Teal_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/q9ZbGeXUg;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/02pY3MOIg
Azure Oil;Images/Orbs/Azure_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/02pY9nwIg;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/d8rV3BRhJ
Indigo Oil;Images/Orbs/IndigoOil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/Eobp7qLS5;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/8lPZ0gbhV
Violet Oil;Images/Orbs/Violet_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/vedyl9JhE;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/5nMEneJua
Crimson Oil;Images/Orbs/Crimson_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/lgVpn4wuV;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/V5nRlvdIp
Black Oil;Images/Orbs/Black_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/X3MLnbeHP;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/WvOaQ3DTm
Opalescent Oil;Images/Orbs/Opalescent_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/V5nRbgoSp;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/D6YJVR5u5
Silver Oil;Images/Orbs/Silver_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/wvBrvXdIb;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/vedyypBuE
Golden Oil;Images/Orbs/Golden_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/4m0439kT9;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/ky3WyD3h5
