Name;Image;Buy;Sell
Imbued Catalyst;Images/Orbs/Imbued_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/9zqDlLKuK;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/eRmJ9Y6hL
Prismatic Catalyst;Images/Orbs/Prismatic_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/d8Ppz8ZhJ;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/jWPJ04LIX
Tempering Catalyst;Images/Orbs/Tempering_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/7nzOYL6H5;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/jWPJ04LIX
Abrasive Catalyst;Images/Orbs/Abrasive_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/JBYbw29hl;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/LgeblElCn
Fertile Catalyst;Images/Orbs/Fertile_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/aLbeY4KTe;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/PPKyVKMFL
Intrinsic Catalyst;Images/Orbs/Intrinsic_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/glPJB0diQ;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/QLrRJOeSw
Turbulent Catalyst;Images/Orbs/Turbulent_Catalyst.png;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/V5ygJW2Cp;https://www.pathofexile.com/trade/exchange/Hardcore Expedition/YpDo40bsY
